Id,Image_ID,label,size,mean,variance,Coord_X,Coord_Y,Coord_Z
1,0,0,16828,0.182,7.564E-4,100.484,191.122,0
2,0,15,75,0.349,0.007,1.093,276.760,0
3,0,3088,4,0.136,4.486E-5,5.750,288.250,0
4,0,4122,2,0.149,-1.107E-9,61.000,248.500,0
5,0,4125,3,0.145,-1.008E-10,109.333,173.667,0
6,0,1062,2,0.145,-1.345E-10,90.000,221.500,0
7,0,4138,1608,0.246,6.718E-4,55.151,58.721,0
8,0,1069,4,0.169,1.025E-5,192.250,129.000,0
9,0,3128,2,0.145,-1.345E-10,174.500,290.000,0
10,0,3136,3,0.165,1.538E-5,129.000,226.000,0
11,0,3144,3,0.140,1.897E-4,129.333,312.333,0
12,0,3157,2,0.106,-3.032E-11,147.000,41.500,0
13,0,2139,3,0.110,-2.702E-11,111.333,167.667,0
14,0,3183,11,0.171,1.873E-5,141.455,94.909,0
15,0,1149,2012,0.293,0.001,21.825,187.579,0
16,0,2178,3,0.165,-5.690E-11,0.667,313.667,0
17,0,2179,7,0.201,1.904E-5,41.429,35.286,0
18,0,4239,5,0.125,1.953E-4,13.400,307.600,0
19,0,3218,2,0.165,-6.136E-11,152.000,295.500,0
20,0,1180,2,0.157,-4.813E-10,67.000,256.500,0
21,0,4258,10,0.127,2.162E-4,110.300,164.300,0
22,0,4272,17,0.142,1.856E-4,170.000,192.882,0
23,0,3261,3,0.128,3.588E-5,124.000,262.000,0
24,0,3264,2,0.114,-6.297E-10,124.000,325.500,0
25,0,2241,12,0.158,6.000E-5,203.500,46.417,0
26,0,2242,5,0.159,5.844E-5,8.600,274.600,0
27,0,3270,3,0.165,3.875E-10,148.000,226.000,0
28,0,3271,6,0.124,2.009E-4,5.833,267.333,0
29,0,3272,2,0.122,1.030E-9,121.000,257.500,0
30,0,3281,2,0.145,-1.345E-10,128.500,272.000,0
31,0,2265,2,0.169,1.036E-10,199.500,111.000,0
32,0,3295,2,0.110,-5.422E-10,159.500,265.000,0
33,0,4327,2,0.114,-6.723E-10,129.500,93.000,0
34,0,3307,6,0.130,1.871E-4,129.833,305.667,0
35,0,4345,4,0.129,7.177E-5,116.750,164.750,0
36,0,3339,2,0.169,2.984E-10,165.000,127.500,0
37,0,2320,3,0.114,-1.793E-10,179.333,165.333,0
38,0,1315,2,0.165,5.166E-10,156.000,333.500,0
39,0,2339,6,0.174,2.256E-5,138.833,91.167,0
40,0,4388,6,0.146,4.101E-5,98.167,249.000,0
41,0,2341,9,0.164,2.990E-6,118.778,215.444,0
42,0,4400,2,0.161,1.738E-9,125.000,265.500,0
43,0,3384,4,0.143,8.715E-5,166.500,208.500,0
44,0,3396,2,0.141,1.762E-9,22.500,303.000,0
45,0,1349,2,0.165,-3.698E-11,153.500,268.000,0
46,0,1352,3,0.110,-2.358E-10,187.000,198.000,0
47,0,2381,2,0.247,-1.057E-9,67.000,45.500,0
48,0,3414,2,0.231,-1.799E-9,58.500,45.000,0
49,0,3416,10,0.134,2.761E-4,30.100,302.200,0
50,0,4463,3,0.149,-5.536E-10,63.667,298.333,0
51,0,368,2,0.290,-5.378E-10,9.000,171.500,0
52,0,4471,4,0.147,5.639E-5,101.250,250.250,0
53,0,4473,11,0.127,4.345E-4,28.727,37.273,0
54,0,4474,2,0.118,9.020E-10,107.500,167.000,0
55,0,4478,4,0.152,1.679E-4,39.000,39.500,0
56,0,3460,3,0.102,-4.244E-11,11.333,297.667,0
57,0,3464,4,0.133,1.333E-4,168.250,206.250,0
58,0,4491,2,0.208,2.534E-9,46.500,35.000,0
59,0,1424,2,0.102,-7.090E-12,176.000,321.500,0
60,0,4501,4,0.230,5.677E-4,44.250,36.250,0
61,0,4505,3,0.133,1.538E-5,35.333,216.333,0
62,0,2461,2,0.153,-7.270E-10,197.500,139.000,0
63,0,1446,2,0.153,-1.156E-9,183.000,7.500,0
64,0,4518,7,0.117,4.892E-4,113.857,165.000,0
65,0,4525,43603,0.127,5.499E-4,105.353,173.525,0
66,0,2506,2,0.137,7.321E-10,90.000,251.500,0
67,0,3542,5,0.132,4.967E-4,32.200,216.000,0
68,0,2523,2,0.137,1.229E-9,192.500,41.000,0
69,0,3552,19,0.124,4.156E-4,133.316,311.211,0
70,0,491,2600,0.366,0.003,101.042,286.602,0
71,0,3578,3,0.152,3.588E-5,132.667,301.667,0
72,0,3606,2,0.137,8.579E-10,180.000,287.500,0
73,0,2585,5,0.131,1.584E-4,80.400,317.600,0
74,0,1588,2,0.145,1.975E-10,146.500,162.000,0
75,0,2646,2,0.118,-8.135E-11,183.500,328.000,0
76,0,602,2,0.216,-2.928E-9,55.000,62.500,0
77,0,3677,14,0.135,2.123E-4,85.357,54.500,0
78,0,1632,3,0.141,1.538E-5,160.667,48.667,0
79,0,2667,2,0.153,-1.156E-9,174.500,285.000,0
80,0,638,4,0.165,5.126E-5,24.750,92.000,0
81,0,3718,3,0.241,3.588E-5,75.667,70.333,0
82,0,1671,17,0.158,5.722E-5,26.824,68.647,0
83,0,2696,3,0.169,1.538E-5,4.333,313.333,0
84,0,2710,6,0.140,2.256E-5,77.833,257.500,0
85,0,3742,10,0.132,4.718E-4,123.300,319.300,0
86,0,676,2,0.220,-3.069E-9,48.000,46.500,0
87,0,685,2021,0.370,0.003,138.054,194.287,0
88,0,1715,5,0.133,7.228E-5,27.600,46.400,0
89,0,702,2,0.149,-1.107E-9,154.000,329.500,0
90,0,3796,3,0.169,6.503E-10,162.667,215.667,0
91,0,2774,3,0.169,1.538E-5,120.333,258.667,0
92,0,3820,14,0.140,1.008E-4,85.571,253.714,0
93,0,3822,2,0.149,-1.107E-9,25.000,82.500,0
94,0,3826,2,0.145,-1.345E-10,86.000,156.500,0
95,0,1783,2,0.165,5.166E-10,71.500,168.000,0
96,0,2813,5,0.132,4.306E-5,111.600,361.800,0
97,0,1791,2,0.149,-5.156E-11,179.500,157.000,0
98,0,775,2987,0.716,0.059,176.003,78.015,0
99,0,3848,2,0.137,2.056E-9,173.500,195.000,0
100,0,2827,2,0.141,1.613E-9,98.000,321.500,0
101,0,3875,2,0.149,-1.107E-9,172.000,196.500,0
102,0,1854,6,0.224,1.071E-4,73.500,74.167,0
103,0,836,3,0.165,6.487E-11,175.667,278.667,0
104,0,2888,4,0.123,3.832E-4,83.250,35.750,0
105,0,3912,10,0.120,1.266E-4,161.600,44.100,0
106,0,3922,7,0.132,6.591E-5,110.571,176.714,0
107,0,1879,6,0.174,2.256E-5,141.000,88.167,0
108,0,1881,9,0.163,6.194E-5,125.111,314.556,0
109,0,1883,2,0.165,1.815E-10,139.500,85.000,0
110,0,2948,2,0.114,3.755E-11,110.000,171.500,0
111,0,3975,4,0.169,2.925E-10,82.750,47.250,0
112,0,914,2,0.153,-1.223E-9,99.500,106.000,0
113,0,932,2,0.153,-1.156E-9,158.500,248.000,0
114,0,3025,2,0.125,-3.649E-11,144.500,252.000,0
115,0,3028,2184,0.486,0.013,25.065,335.725,0
116,0,4065,4,0.142,3.460E-5,113.250,172.000,0
117,0,2019,2,0.137,1.297E-9,2.500,257.000,0
118,0,4069,2,0.157,-8.587E-10,106.000,164.500,0
119,0,4070,3,0.103,6.357E-4,112.333,169.333,0
120,0,2024,9,0.127,1.311E-4,29.778,44.000,0
121,0,3061,4,0.162,1.410E-5,189.750,334.250,0
122,0,4085,4,0.143,1.077E-4,15.500,307.000,0
123,0,4086,10,0.128,3.488E-4,77.800,33.300,0
