FileName;Frame;Channel;Id;X;Y;Z;Size;Perimeter;Length;Intensity
%background:/tmp/test/1 Ctrl 1.tif
%background:/tmp/test/1 Ctrl 2.tif
%background:/tmp/test/1 Ctrl 3.tif
%background:/tmp/test/2 OA1.tif
%background:/tmp/test/2 OA2.tif
%background:/tmp/test/2 OA4.tif
%background:/tmp/test/3 Ctrl1.tif
%background:/tmp/test/3 Ctrl2.tif
%background:/tmp/test/3 Ctrl3.tif
%background:/tmp/test/4 OA1.tif
%background:/tmp/test/4 OA3.tif
%background:/tmp/test/4 OA4.tif
1 Ctrl 1.tif;0;0;1;36.974998474121094;62.07500076293945;0.0;40.0;36.0;8.0;14.695383438988713
1 Ctrl 1.tif;0;0;2;58.099998474121094;72.56999969482422;0.0;100.0;42.0;6.0;18.377433026132664
1 Ctrl 1.tif;0;0;3;27.0;75.10526275634766;0.0;19.0;18.0;5.0;31.140455438768498
1 Ctrl 1.tif;0;0;4;44.5;75.5;0.0;8.0;10.0;4.0;17.524849699692954
1 Ctrl 1.tif;0;0;5;45.14441680908203;25.62373161315918;0.0;1281.0;296.0;84.0;46.23359169676574
1 Ctrl 1.tif;0;0;6;22.559999465942383;29.399999618530273;0.0;25.0;24.0;1.0;14.216007501702023
1 Ctrl 1.tif;0;0;7;14.5;33.22222137451172;0.0;18.0;18.0;2.0;13.844485309874614
1 Ctrl 1.tif;0;0;8;30.399999618530273;38.400001525878906;0.0;15.0;16.0;1.0;9.572741206949452
1 Ctrl 1.tif;0;0;9;7.8125;65.96428680419922;0.0;112.0;62.0;12.0;22.095592652279223
1 Ctrl 1.tif;0;1;1;61.0;66.28571319580078;0.0;7.0;12.0;1.0;70.70468012887596
1 Ctrl 1.tif;0;1;2;53.33333206176758;71.33333587646484;0.0;3.0;8.0;1.0;36.87022602881411
1 Ctrl 1.tif;0;1;3;57.0;1.3333333730697632;0.0;18.0;16.0;1.0;37.05241738190892
1 Ctrl 1.tif;0;1;4;28.0;15.5;0.0;6.0;10.0;3.0;211.49832108051476
1 Ctrl 1.tif;0;1;5;17.538461685180664;17.846153259277344;0.0;13.0;18.0;2.0;175.41248560593812
1 Ctrl 1.tif;0;1;6;3.6666667461395264;24.33333396911621;0.0;3.0;8.0;1.0;84.86497589697369
1 Ctrl 1.tif;0;1;7;31.0;34.20000076293945;0.0;5.0;12.0;2.0;92.53455916250209
1 Ctrl 1.tif;0;1;8;11.600000381469727;36.79999923706055;0.0;5.0;10.0;1.0;177.84084512747188
1 Ctrl 1.tif;0;1;9;36.25;39.5;0.0;20.0;22.0;2.0;227.36348418115284
1 Ctrl 1.tif;0;1;10;17.520000457763672;42.959999084472656;0.0;25.0;30.0;6.0;199.69282915462267
1 Ctrl 1.tif;0;1;11;37.875;50.125;0.0;8.0;12.0;2.0;126.05039664787223
1 Ctrl 1.tif;0;1;12;61.5;49.0;0.0;2.0;6.0;2.0;44.1403593873445
1 Ctrl 1.tif;0;1;13;57.33333206176758;51.266666412353516;0.0;15.0;18.0;2.0;176.6312966384949
1 Ctrl 1.tif;0;1;14;6.833333492279053;56.0;0.0;6.0;12.0;1.0;183.04340869739715
1 Ctrl 1.tif;0;1;15;25.5;62.0;0.0;12.0;18.0;1.0;62.4843112084883
1 Ctrl 1.tif;0;1;16;48.5;65.0;0.0;6.0;10.0;2.0;74.06099102650205
1 Ctrl 2.tif;0;0;1;47.599998474121094;41.20000076293945;0.0;5.0;7.0;1.0;38.25404530231814
1 Ctrl 2.tif;0;0;2;21.85714340209961;47.85714340209961;0.0;21.0;18.0;2.0;59.05403193838593
1 Ctrl 2.tif;0;0;3;39.5;49.599998474121094;0.0;10.0;12.0;4.0;16.29172756868779
1 Ctrl 2.tif;0;0;4;2.470588207244873;1.8235293626785278;0.0;17.0;18.0;7.0;42.18692170677163
1 Ctrl 2.tif;0;0;5;16.285715103149414;0.4285714328289032;0.0;7.0;9.0;3.0;19.960900834074923
1 Ctrl 2.tif;0;0;6;41.0;2.5;0.0;18.0;18.0;1.0;65.11037632719255
1 Ctrl 2.tif;0;0;7;17.648147583007812;14.101851463317871;0.0;108.0;56.0;11.0;68.24270145759779
1 Ctrl 2.tif;0;0;8;2.875;11.375;0.0;32.0;24.0;3.0;59.62758216398944
1 Ctrl 2.tif;0;0;9;36.09090805053711;15.909090995788574;0.0;22.0;20.0;1.0;51.496725488223426
1 Ctrl 2.tif;0;0;10;1.384615421295166;23.230770111083984;0.0;26.0;27.0;6.0;46.08745802015066
1 Ctrl 2.tif;0;0;11;29.5;23.0;0.0;12.0;14.0;4.0;38.58523304220077
1 Ctrl 2.tif;0;0;12;40.79999923706055;28.5;0.0;10.0;14.0;2.0;84.7911652570262
1 Ctrl 2.tif;0;0;13;17.714284896850586;36.371429443359375;0.0;35.0;28.0;1.0;60.039298715843124
1 Ctrl 2.tif;0;0;14;29.029850006103516;36.6119384765625;0.0;67.0;36.0;3.0;99.22659822821149
1 Ctrl 2.tif;0;0;15;47.33333206176758;33.33333206176758;0.0;3.0;6.0;1.0;4.740337916320939
1 Ctrl 2.tif;0;0;16;41.0;36.0;0.0;9.0;12.0;3.0;95.86781902179571
1 Ctrl 2.tif;0;1;1;23.0;1.7407407760620117;0.0;27.0;24.0;5.0;73.74911602489811
1 Ctrl 2.tif;0;1;2;35.5;1.0;0.0;6.0;8.0;2.0;133.24843660159866
1 Ctrl 2.tif;0;1;3;42.20000076293945;0.6000000238418579;0.0;5.0;8.0;2.0;47.07914058430473
1 Ctrl 2.tif;0;1;4;13.370369911193848;4.44444465637207;0.0;27.0;26.0;2.0;50.907201888862836
1 Ctrl 2.tif;0;1;5;45.66666793823242;3.0;0.0;9.0;14.0;3.0;85.49655524873269
