File;Image ID;Objects ch1;Mean size in ch1;Mean surface in ch1;Mean length in ch1
%Parameters: background removal  false window size 10 stddev PSF xy  1.0 stddev PSF z  1.0 Regularization 0.05 0.05 Min intensity ch1 0.15 Min intensity ch2 0.15 subpixel false Cell mask ch1 false mask threshold ch1 0.0015 Cell mask ch2 false mask threshold ch2 0.0015 Intensity estimation Automatic Noise model Poisson;
TransportOfEndosomalVirus.tif;0;39;58.923;28.7948;5.5897
TransportOfEndosomalVirus.tif;1;39;58.923;28.7948;5.5897
TransportOfEndosomalVirus.tif;2;37;66.5135;30.4594;6.7297
TransportOfEndosomalVirus.tif;3;37;66.5135;30.4594;6.7297
TransportOfEndosomalVirus.tif;4;43;50.7441;25.3023;5.8139
TransportOfEndosomalVirus.tif;5;43;50.7441;25.3023;5.8139
TransportOfEndosomalVirus.tif;6;37;44.2702;25.9459;5.2972
TransportOfEndosomalVirus.tif;7;37;44.2702;25.9459;5.2972
TransportOfEndosomalVirus.tif;8;46;41.7173;24.0;4.5652
TransportOfEndosomalVirus.tif;9;46;41.7173;24.0;4.5652
TransportOfEndosomalVirus.tif;10;40;42.35;26.6;5.425
TransportOfEndosomalVirus.tif;11;40;42.35;26.6;5.425
TransportOfEndosomalVirus.tif;12;42;43.2142;25.2142;5.0952
