 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,143.427,49.597,0,6.627,1.774,3.700,8.368,20.055,9.634
2,1,2,143.606,49.572,0,6.416,1.792,3.774,8.614,20.834,15.508
3,2,0,139.725,74.229,0,5.801,1.692,3.414,7.510,17.594,8.586
4,2,1,139.328,72.613,0,5.453,1.675,3.374,7.424,17.429,33.233
5,2,2,139.686,72.615,0,5.207,1.641,3.263,7.112,16.579,39.946
6,3,0,225.159,91.622,0,6.448,1.577,3.005,6.257,13.929,7.448
7,3,2,224.693,92.359,0,6.125,1.598,3.081,6.496,14.634,5.906
8,4,0,149.076,104.465,0,4.634,1.639,3.257,7.094,16.525,57.690
9,4,1,150.162,114.276,0,4.242,1.605,3.129,6.685,15.286,24.699
10,4,2,150.566,111.412,0,5.837,1.758,3.654,8.247,19.756,8.003
11,5,0,81.928,107.166,0,4.809,1.645,3.278,7.155,16.706,50.495
12,5,1,81.653,107.575,0,5.179,1.621,3.156,6.709,15.216,49.384
13,5,2,81.537,108.276,0,5.097,1.599,3.084,6.501,14.637,44.784
14,6,0,106.199,138.092,0,4.525,1.597,3.106,6.639,15.214,56.269
15,6,1,105.666,138.374,0,4.119,1.518,2.820,5.753,12.596,27.293
16,7,0,192.506,196.204,0,4.441,1.632,3.227,6.990,16.196,49.924
17,7,1,192.643,196.381,0,4.888,1.632,3.229,7.003,16.248,52.863
18,7,2,192.681,196.708,0,4.325,1.642,3.268,7.127,16.627,12.053
19,8,0,101.102,210.736,0,4.659,1.574,3.017,6.343,14.283,52.809
20,8,1,98.195,211.375,0,5.406,1.683,3.393,7.459,17.465,35.516
21,8,2,100.547,210.510,0,4.995,1.662,3.301,7.143,16.458,46.970
22,9,0,94.776,212.213,0,5.105,1.608,3.134,6.690,15.284,26.059
23,9,1,94.825,215.182,0,4.810,1.638,3.254,7.084,16.496,48.382
24,9,2,95.698,214.277,0,4.911,1.666,3.327,7.251,16.846,43.668
25,10,0,186.876,218.863,0,3.945,1.528,2.869,5.934,13.198,17.446
26,10,1,188.791,215.287,0,4.631,1.490,2.727,5.478,11.818,28.727
27,10,2,188.736,215.319,0,4.190,1.422,2.510,4.868,10.156,8.160
28,11,0,77.298,227.246,0,5.853,1.566,2.984,6.235,13.952,9.987
29,11,1,77.183,233.839,0,4.939,1.599,3.119,6.679,15.327,53.771
30,12,0,18.377,264.514,0,6.873,1.698,3.424,7.507,17.492,10.773
31,12,2,21.122,266.560,0,6.505,1.728,3.547,7.920,18.799,16.040
32,13,1,141.168,167.206,0,4.280,1.472,2.680,5.371,11.588,29.047
33,13,2,138.798,170.453,0,4.533,1.510,2.804,5.728,12.582,26.763
